CountryName,Date,C1_School closing,C2_Workplace closing,C6_Stay at home requirements,H6_Facial Coverings
United States,20200905,2.0,2.0,1.0,2.0
United States,20200906,2.0,2.0,1.0,2.0
United States,20200907,2.0,2.0,1.0,2.0
United States,20200908,2.0,2.0,1.0,2.0
United States,20200909,2.0,2.0,1.0,2.0
United States,20200910,2.0,2.0,1.0,2.0
United States,20200911,2.0,2.0,1.0,2.0
United States,20200921,1.0,2.0,1.0,2.0
United States,20200922,1.0,2.0,1.0,2.0
United States,20200923,1.0,2.0,1.0,2.0
United States,20200924,1.0,2.0,1.0,2.0
United States,20200925,1.0,2.0,1.0,2.0
United States,20200926,1.0,2.0,1.0,2.0
United States,20200927,1.0,2.0,1.0,2.0
United States,20200928,1.0,2.0,1.0,2.0
United States,20200929,1.0,2.0,1.0,2.0
United States,20200930,1.0,2.0,1.0,2.0
United States,20201001,0.0,2.0,1.0,2.0
United States,20201002,0.0,2.0,1.0,2.0
United States,20201003,0.0,2.0,1.0,2.0
United States,20201004,0.0,2.0,1.0,2.0
United States,20201005,0.0,2.0,1.0,2.0
United States,20201006,0.0,2.0,1.0,2.0
United States,20201007,0.0,2.0,1.0,2.0
United States,20201008,2.0,3.0,1.0,2.0
United States,20201009,2.0,3.0,1.0,2.0
United States,20201010,2.0,3.0,1.0,2.0
United States,20201011,2.0,3.0,1.0,2.0
United States,20201012,2.0,3.0,1.0,2.0
United States,20201013,2.0,3.0,1.0,2.0
United States,20201014,2.0,3.0,1.0,2.0
United States,20201015,2.0,3.0,1.0,2.0
United States,20201022,2.0,3.0,1.0,2.0
United States,20200101,0.0,0.0,0.0,0.0
United States,20200102,0.0,0.0,0.0,0.0
United States,20200103,0.0,0.0,0.0,0.0
United States,20200104,0.0,0.0,0.0,0.0
United States,20200105,0.0,0.0,0.0,0.0
United States,20200106,0.0,0.0,0.0,0.0
United States,20200107,0.0,0.0,0.0,0.0
United States,20200108,0.0,0.0,0.0,0.0
United States,20200109,0.0,0.0,0.0,0.0
United States,20200110,0.0,0.0,0.0,0.0
United States,20200111,0.0,0.0,0.0,0.0
United States,20200112,0.0,0.0,0.0,0.0
United States,20200113,0.0,0.0,0.0,0.0
United States,20200114,0.0,0.0,0.0,0.0
United States,20200115,0.0,0.0,0.0,0.0
United States,20200116,0.0,0.0,0.0,0.0
United States,20200117,0.0,0.0,0.0,0.0
United States,20200118,0.0,0.0,0.0,0.0
United States,20200119,0.0,0.0,0.0,0.0
United States,20200120,0.0,0.0,0.0,0.0
United States,20200121,0.0,0.0,0.0,0.0
United States,20200122,0.0,0.0,0.0,0.0
United States,20200723,3.0,2.0,1.0,3.0
United States,20200724,3.0,2.0,1.0,3.0
United States,20200725,3.0,2.0,1.0,3.0
United States,20200726,3.0,2.0,1.0,3.0
United States,20200727,3.0,2.0,1.0,3.0
United States,20200728,3.0,2.0,1.0,3.0
United States,20200729,3.0,2.0,1.0,3.0
United States,20200730,3.0,2.0,1.0,3.0
United States,20200731,3.0,2.0,1.0,3.0
United States,20200801,3.0,2.0,1.0,3.0
United States,20200802,3.0,2.0,1.0,3.0
United States,20200803,3.0,2.0,1.0,3.0
United States,20200804,3.0,2.0,1.0,3.0
United States,20200805,3.0,2.0,1.0,3.0
United States,20200806,3.0,2.0,1.0,3.0
United States,20200807,3.0,2.0,1.0,3.0
United States,20200808,3.0,2.0,1.0,3.0
United States,20200809,3.0,2.0,1.0,3.0
United States,20200810,3.0,2.0,1.0,3.0
United States,20200811,3.0,2.0,1.0,3.0
United States,20200812,3.0,2.0,1.0,3.0
United States,20200813,3.0,2.0,1.0,3.0
United States,20200814,3.0,2.0,1.0,3.0
United States,20200815,3.0,2.0,1.0,3.0
United States,20200816,3.0,2.0,1.0,3.0
United States,20200817,3.0,2.0,1.0,3.0
United States,20200818,3.0,2.0,1.0,3.0
United States,20200819,3.0,2.0,1.0,3.0
United States,20200820,3.0,2.0,1.0,3.0
United States,20200821,3.0,2.0,1.0,3.0
United States,20200822,3.0,2.0,1.0,3.0
United States,20200823,3.0,2.0,1.0,3.0
United States,20200824,3.0,2.0,1.0,3.0
United States,20200825,3.0,2.0,1.0,3.0
United States,20200826,3.0,2.0,1.0,3.0
United States,20200827,3.0,2.0,1.0,3.0
United States,20200828,3.0,2.0,1.0,3.0
United States,20200829,3.0,2.0,1.0,3.0
United States,20200830,3.0,2.0,1.0,3.0
United States,20200831,3.0,2.0,1.0,3.0
United States,20200901,3.0,2.0,1.0,3.0
United States,20200902,3.0,2.0,1.0,3.0
United States,20200903,3.0,2.0,1.0,3.0
United States,20200904,3.0,2.0,1.0,3.0
United States,20200905,3.0,2.0,1.0,3.0
United States,20200906,3.0,2.0,1.0,3.0
United States,20200907,3.0,2.0,1.0,3.0
United States,20200908,3.0,2.0,1.0,3.0
United States,20200909,3.0,2.0,1.0,3.0
United States,20200910,3.0,2.0,1.0,3.0
United States,20200911,3.0,2.0,1.0,3.0
United States,20200921,2.0,1.0,1.0,3.0
United States,20200922,2.0,1.0,1.0,3.0
United States,20200923,2.0,1.0,1.0,3.0
United States,20200924,2.0,1.0,1.0,3.0
United States,20200925,2.0,1.0,1.0,3.0
United States,20200926,2.0,1.0,1.0,3.0
United States,20200927,2.0,1.0,1.0,3.0
United States,20200928,2.0,1.0,1.0,3.0
United States,20200929,2.0,1.0,1.0,3.0
United States,20200930,2.0,1.0,1.0,3.0
United States,20201001,2.0,1.0,1.0,3.0
United States,20201002,2.0,1.0,1.0,3.0
United States,20201003,2.0,1.0,1.0,3.0
United States,20201004,2.0,1.0,1.0,3.0
United States,20201005,2.0,1.0,1.0,3.0
United States,20201006,2.0,1.0,1.0,3.0
United States,20201007,2.0,1.0,1.0,3.0
United States,20201008,2.0,1.0,1.0,3.0
United States,20201009,2.0,1.0,1.0,3.0
United States,20201010,2.0,1.0,1.0,3.0
United States,20201011,2.0,1.0,1.0,3.0
United States,20201012,2.0,1.0,1.0,3.0
United States,20201013,2.0,1.0,1.0,3.0
United States,20201014,2.0,1.0,1.0,3.0
United States,20201015,2.0,1.0,1.0,3.0
United States,20201016,2.0,1.0,1.0,3.0
United States,20200101,0.0,0.0,0.0,0.0
United States,20200102,0.0,0.0,0.0,0.0
United States,20200103,0.0,0.0,0.0,0.0
United States,20200104,0.0,0.0,0.0,0.0
United States,20200105,0.0,0.0,0.0,0.0
United States,20200106,0.0,0.0,0.0,0.0
United States,20200107,0.0,0.0,0.0,0.0
United States,20200108,0.0,0.0,0.0,0.0
United States,20200109,0.0,0.0,0.0,0.0
United States,20200110,0.0,0.0,0.0,0.0
United States,20200111,0.0,0.0,0.0,0.0
United States,20200112,0.0,0.0,0.0,0.0
United States,20200113,0.0,0.0,0.0,0.0
